algorithm,size,time
tri_selection,100,0.00016940000023168977
tri_bulles,100,0.0003854000005958369
tri_insertion,100,0.00022170000011101365
tri_echange,100,4.959999932907522e-05
tri_selection,300,0.0012800999993487494
tri_bulles,300,0.002557800000431598
tri_insertion,300,0.001184500000817934
tri_echange,300,0.00023090000104275532
tri_selection,700,0.007245000000693835
tri_bulles,700,0.018645699999979115
tri_insertion,700,0.008913199999369681
tri_echange,700,0.00048410000090370886
